Date,Open,High,Low,Close,Adj Close,Volume
2020-10-07,2.285714,2.342857,1.790476,2.019048,2.019048,380817025
2020-10-08,1.961905,1.961905,1.419048,1.419048,1.419048,89369485
2020-10-09,1.314286,1.409524,1.171429,1.342857,1.342857,66388136
2020-10-12,1.342857,1.390476,1.32381,1.32381,1.32381,25812043
2020-10-14,1.314286,1.352381,1.295238,1.333333,1.333333,10756514
2020-10-15,1.32381,1.361905,1.257143,1.257143,1.257143,14561609
2020-10-16,1.257143,1.285714,1.209524,1.209524,1.209524,6057869
2020-10-19,1.180952,1.2,1.123809,1.123809,1.123809,4715129
2020-10-20,1.152381,1.190476,1.123809,1.152381,1.152381,4661789
2020-10-21,1.180952,1.180952,1.133333,1.133333,1.133333,2383814
2020-10-22,1.123809,1.142857,1.047619,1.057143,1.057143,6133784
2020-10-26,1.057143,1.104762,1.047619,1.095238,1.095238,4642784
2020-10-27,1.104762,1.247619,1.104762,1.238095,1.238095,24944008
2020-10-28,1.238095,1.285714,1.2,1.257143,1.257143,18664169
2020-10-29,1.228571,1.228571,1.171429,1.209524,1.209524,7451744
2020-10-30,1.219048,1.247619,1.142857,1.152381,1.152381,8762984
2020-11-02,1.161905,1.238095,1.152381,1.238095,1.238095,6497924
2020-11-03,1.247619,1.32381,1.228571,1.285714,1.285714,13183379
2020-11-04,1.285714,1.32381,1.247619,1.257143,1.257143,10655084
2020-11-05,1.276191,1.285714,1.228571,1.238095,1.238095,3003524
2020-11-06,1.257143,1.257143,1.209524,1.209524,1.209524,2609564
2020-11-09,1.209524,1.228571,1.152381,1.171429,1.171429,4150649
2020-11-10,1.180952,1.180952,1.123809,1.161905,1.161905,2989559
2020-11-11,1.171429,1.190476,1.133333,1.161905,1.161905,3760154
2020-11-12,1.171429,1.295238,1.171429,1.247619,1.247619,16982069
2020-11-13,1.247619,1.352381,1.228571,1.342857,1.342857,16993934
2020-11-16,1.371429,1.419048,1.342857,1.419048,1.419048,29205328
2020-11-17,1.438095,1.485714,1.361905,1.390476,1.390476,23688103
2020-11-18,1.361905,1.438095,1.333333,1.438095,1.438095,8785559
2020-11-19,1.457143,1.504762,1.447619,1.457143,1.457143,15052484
2020-11-20,1.457143,1.476191,1.428572,1.457143,1.457143,5314784
2020-11-23,1.457143,1.457143,1.409524,1.428572,1.428572,4229504
2020-11-24,1.419048,1.428572,1.390476,1.4,1.4,2588354
2020-11-25,1.428572,1.438095,1.390476,1.4,1.4,3568004
2020-11-26,1.409524,1.409524,1.361905,1.380952,1.380952,1211489
2020-11-27,1.4,1.4,1.380952,1.380952,1.380952,1118459
2020-11-30,1.380952,1.390476,1.342857,1.371429,1.371429,1669079
2020-12-01,1.361905,1.380952,1.361905,1.380952,1.380952,1334759
2020-12-02,1.380952,1.419048,1.361905,1.4,1.4,3626279
2020-12-03,1.419048,1.561905,1.409524,1.561905,1.561905,41944452
2020-12-04,1.609524,1.628572,1.514286,1.533333,1.533333,21547258
2020-12-08,1.52381,1.52381,1.447619,1.514286,1.514286,6743939
2020-12-09,1.514286,1.52381,1.457143,1.466667,1.466667,4585874
2020-12-14,1.466667,1.504762,1.457143,1.485714,1.485714,3025049
2020-12-15,1.485714,1.485714,1.457143,1.457143,1.457143,2079209
2020-12-16,1.466667,1.476191,1.438095,1.447619,1.447619,3251429
2020-12-17,1.438095,1.495238,1.428572,1.485714,1.485714,2234504
2020-12-18,1.485714,1.561905,1.485714,1.533333,1.533333,11629904
2020-12-21,1.438095,1.476191,1.333333,1.333333,1.333333,6927374
2020-12-22,1.333333,1.438095,1.314286,1.419048,1.419048,6270599
2020-12-23,1.419048,1.466667,1.409524,1.409524,1.409524,2871644
2020-12-24,1.409524,1.466667,1.4,1.428572,1.428572,2745329
2020-12-25,1.428572,1.438095,1.4,1.428572,1.428572,2329739
2020-12-28,1.428572,1.428572,1.390476,1.390476,1.390476,1046849
2020-12-29,1.390476,1.409524,1.380952,1.390476,1.390476,1656794
2020-12-30,1.4,1.4,1.371429,1.371429,1.371429,969989
2021-01-04,1.333333,1.380952,1.333333,1.371429,1.371429,869504
2021-01-05,1.361905,1.4,1.361905,1.371429,1.371429,2625944
2021-01-06,1.380952,1.4,1.371429,1.390476,1.390476,1121714
2021-01-07,1.390476,1.428572,1.390476,1.409524,1.409524,1267979
2021-01-08,1.409524,1.428572,1.4,1.4,1.4,2664689
2021-01-11,1.409524,1.428572,1.409524,1.409524,1.409524,1039394
2021-01-12,1.419048,1.504762,1.409524,1.495238,1.495238,5722814
2021-01-13,1.504762,1.542857,1.466667,1.466667,1.466667,10486559
2021-01-14,1.476191,1.485714,1.447619,1.447619,1.447619,2720864
2021-01-15,1.457143,1.466667,1.438095,1.438095,1.438095,1365524
2021-01-18,1.438095,1.457143,1.428572,1.438095,1.438095,600599
2021-01-19,1.447619,1.476191,1.447619,1.466667,1.466667,1371194
2021-01-20,1.476191,1.485714,1.447619,1.457143,1.457143,1218314
2021-01-21,1.457143,1.628572,1.457143,1.590476,1.590476,53361312
2021-01-22,1.571429,1.609524,1.514286,1.514286,1.514286,19936349
2021-01-25,1.552381,1.676191,1.52381,1.619048,1.619048,39213613
2021-01-26,1.638095,1.695238,1.571429,1.580952,1.580952,31146253
2021-01-27,1.6,1.619048,1.571429,1.590476,1.590476,6477764
2021-01-28,1.590476,1.590476,1.561905,1.561905,1.561905,3254579
2021-01-29,1.571429,1.638095,1.561905,1.619048,1.619048,8267174
2021-02-01,1.638095,1.704762,1.590476,1.704762,1.704762,12068804
2021-02-02,1.704762,1.790476,1.676191,1.761905,1.761905,26890393
2021-02-03,1.771429,1.847619,1.752381,1.809524,1.809524,16798214
2021-02-04,1.819048,1.92381,1.790476,1.895238,1.895238,16009349
2021-02-05,1.904762,1.942857,1.885714,1.895238,1.895238,7269989
2021-02-08,1.895238,1.980952,1.895238,1.92381,1.92381,7808534
2021-02-09,1.92381,2.019048,1.92381,1.980952,1.980952,5871284
2021-02-10,2.019048,2.019048,1.942857,1.980952,1.980952,3509204
2021-02-11,1.980952,1.980952,1.904762,1.961905,1.961905,2804444
2021-02-15,1.92381,2.209524,1.92381,2.171429,2.171429,19307819
2021-02-16,2.228571,2.266667,2.038095,2.114286,2.114286,10638389
2021-02-17,2.114286,2.190476,2.114286,2.133333,2.133333,1770929
2021-02-18,2.190476,2.190476,2.114286,2.133333,2.133333,1545284
2021-02-19,2.133333,2.152381,2.038095,2.057143,2.057143,2130134
2021-02-22,2.038095,2.057143,1.942857,1.942857,1.942857,3425519
2021-02-23,1.942857,1.942857,1.771429,1.876191,1.876191,4819604
2021-02-24,1.857143,1.866667,1.809524,1.847619,1.847619,1933889
2021-02-25,1.866667,2.152381,1.866667,2.038095,2.038095,5920214
2021-03-01,2.057143,2.076191,1.92381,1.961905,1.961905,2253194
2021-03-02,2.0,2.0,1.961905,1.980952,1.980952,881159
2021-03-03,1.961905,2.057143,1.961905,2.019048,2.019048,1228604
2021-03-04,2.038095,2.038095,2.0,2.0,2.0,973559
2021-03-05,2.019048,2.038095,2.0,2.019048,2.019048,532664
2021-03-08,2.038095,2.057143,2.0,2.019048,2.019048,919904
2021-03-09,2.019048,2.038095,1.980952,2.019048,2.019048,1270499
2021-03-10,2.0,2.114286,2.0,2.095238,2.095238,2126354
2021-03-11,2.038095,2.076191,1.980952,2.019048,2.019048,1452989
2021-03-12,1.980952,2.057143,1.980952,2.0,2.0,921479
2021-03-15,2.038095,2.171429,2.019048,2.076191,2.076191,7510124
2021-03-16,2.076191,2.095238,2.038095,2.038095,2.038095,1397234
2021-03-17,2.038095,2.038095,2.0,2.038095,2.038095,1204139
2021-03-18,2.038095,2.076191,2.0,2.019048,2.019048,1221254
2021-03-19,2.038095,2.038095,1.980952,2.019048,2.019048,1169699
2021-03-22,2.019048,2.038095,2.0,2.038095,2.038095,755054
2021-03-23,2.038095,2.209524,2.019048,2.171429,2.171429,13936229
2021-03-24,2.209524,2.4,2.171429,2.304762,2.304762,28371103
2021-03-25,2.438095,2.476191,2.285714,2.361905,2.361905,9071264
2021-03-26,2.361905,2.361905,2.171429,2.209524,2.209524,5807969
2021-03-29,2.228571,2.247619,2.114286,2.152381,2.152381,4424279
2021-03-30,2.152381,2.209524,2.152381,2.190476,2.190476,2517164
2021-03-31,2.171429,2.209524,2.152381,2.171429,2.171429,2285114
2021-04-01,2.190476,2.266667,2.171429,2.228571,2.228571,4769414
2021-04-02,2.304762,2.438095,2.247619,2.32381,2.32381,21745078
2021-04-05,2.342857,2.342857,2.190476,2.285714,2.285714,5224694
2021-04-07,2.228571,2.247619,2.190476,2.209524,2.209524,2401979
2021-04-08,2.209524,2.285714,2.209524,2.247619,2.247619,1698689
2021-04-09,2.285714,2.285714,2.209524,2.209524,2.209524,1987754
2021-04-12,2.209524,2.266667,2.209524,2.209524,2.209524,1725149
2021-04-16,2.190476,2.209524,2.133333,2.209524,2.209524,2129819
2021-04-19,2.228571,2.380953,2.228571,2.380953,2.380953,8514239
2021-04-20,2.514286,3.085714,2.476191,3.085714,3.085714,41788317
2021-04-21,3.390476,3.6,2.952381,2.952381,2.952381,41427327
2021-04-22,2.990476,3.009524,2.742857,2.914286,2.914286,9280739
2021-04-23,2.933333,3.295238,2.895238,3.219048,3.219048,23741128
2021-04-26,3.238095,3.238095,3.142857,3.161905,3.161905,3999449
2021-04-27,3.161905,3.276191,3.085714,3.104762,3.104762,7290149
2021-04-28,3.12381,3.142857,3.047619,3.047619,3.047619,2026184
2021-04-29,3.066667,3.2,3.066667,3.2,3.2,2756354
2021-04-30,3.238095,3.238095,3.085714,3.104762,3.104762,2567879
2021-05-05,3.104762,3.104762,2.914286,2.952381,2.952381,6232274
2021-05-06,2.971429,3.009524,2.952381,2.990476,2.990476,1661519
2021-05-07,3.028572,3.142857,2.990476,3.028572,3.028572,5942684
2021-05-10,3.066667,3.504762,3.047619,3.504762,3.504762,29118178
2021-05-11,3.238095,3.295238,3.142857,3.276191,3.276191,8758469
2021-05-12,3.295238,3.504762,3.161905,3.409524,3.409524,10643639
2021-05-13,3.371429,3.371429,3.047619,3.276191,3.276191,5913914
2021-05-14,3.257143,3.295238,3.161905,3.257143,3.257143,1429679
2021-05-17,3.295238,3.295238,3.142857,3.2,3.2,1296644
2021-05-18,3.180952,3.352381,3.180952,3.333334,3.333334,2477894
2021-05-19,3.314286,3.409524,3.219048,3.314286,3.314286,2055059
2021-05-20,3.333334,3.542857,3.2,3.238095,3.238095,16445939
2021-05-21,3.238095,3.295238,3.180952,3.219048,3.219048,3790289
2021-05-24,3.257143,3.276191,3.2,3.238095,3.238095,808919
2021-05-25,3.238095,3.257143,3.219048,3.257143,3.257143,1312604
2021-05-27,3.257143,3.276191,3.2,3.257143,3.257143,990779
2021-05-28,3.238095,3.371429,3.238095,3.333334,3.333334,3557819
2021-05-31,3.371429,3.504762,3.333334,3.504762,3.504762,6501389
2021-06-01,3.6,3.866667,3.542857,3.676191,3.676191,23595283
2021-06-02,3.714286,3.714286,3.619048,3.676191,3.676191,3568109
2021-06-04,3.657143,3.676191,3.580953,3.619048,3.619048,2456789
2021-06-07,3.657143,3.676191,3.619048,3.619048,3.619048,1761899
2021-06-08,3.619048,3.809524,3.619048,3.714286,3.714286,6480914
2021-06-09,3.676191,3.714286,3.657143,3.676191,3.676191,1123394
2021-06-10,3.676191,3.92381,3.676191,3.885714,3.885714,7601474
2021-06-11,3.885714,3.980952,3.866667,3.942857,3.942857,4008059
2021-06-14,4.0,4.038095,3.752381,3.92381,3.92381,4008374
2021-06-15,3.961905,3.961905,3.847619,3.885714,3.885714,1371299
2021-06-16,3.92381,3.942857,3.847619,3.885714,3.885714,1036454
2021-06-17,3.885714,3.92381,3.866667,3.885714,3.885714,576134
2021-06-18,3.885714,3.885714,3.619048,3.809524,3.809524,2970134
2021-06-21,3.695238,3.771429,3.676191,3.771429,3.771429,1297484
2021-06-22,3.828572,3.828572,3.695238,3.714286,3.714286,1086749
2021-06-23,3.714286,3.714286,3.638095,3.638095,3.638095,1224089
2021-06-24,3.619048,3.619048,3.276191,3.352381,3.352381,4016564
2021-06-25,3.333334,3.352381,3.180952,3.180952,3.180952,2355254
2021-06-28,2.971429,3.219048,2.971429,3.104762,3.104762,4269509
