Date,Open,High,Low,Close,Adj Close,Volume
2021-12-02,9.8,9.8,9.8,9.8,9.8,0
2021-12-03,15.5,16.0,12.8,13.0,13.0,159094900
2021-12-07,13.6,16.9,13.5,16.9,16.9,68332900
2021-12-08,17.6,19.4,16.0,16.799999,16.799999,136060200
2021-12-09,17.0,18.0,17.0,17.1,17.1,32481500
2021-12-13,16.799999,17.200001,16.1,16.799999,16.799999,5166900
2021-12-14,16.5,17.799999,16.4,17.799999,17.799999,4432700
2021-12-15,17.9,17.9,17.5,17.5,17.5,2289400
2021-12-16,17.5,17.9,16.1,16.6,16.6,6190100
2021-12-17,16.799999,17.1,16.5,16.799999,16.799999,1580900
2021-12-20,16.5,16.9,16.4,16.6,16.6,1262500
2021-12-21,16.799999,16.799999,16.299999,16.4,16.4,1536900
2021-12-22,16.4,17.4,16.299999,16.9,16.9,4338400
2021-12-23,17.0,17.9,16.9,17.4,17.4,4702500
2021-12-24,17.4,17.6,17.0,17.299999,17.299999,1716000
2021-12-27,17.200001,17.4,16.9,17.1,17.1,1320700
2021-12-28,17.1,18.299999,17.1,17.299999,17.299999,5323100
2021-12-29,17.299999,18.4,17.299999,18.4,18.4,6513300
2021-12-30,18.200001,18.700001,17.700001,18.1,18.1,4444000
2022-01-04,18.1,18.299999,17.700001,18.0,18.0,2942200
2022-01-05,18.0,18.0,17.5,17.799999,17.799999,1786200
2022-01-06,17.700001,18.799999,17.700001,18.5,18.5,6511800
2022-01-07,18.5,19.0,18.299999,18.9,18.9,5703200
2022-01-10,19.200001,21.0,18.9,21.0,21.0,10640300
2022-01-11,21.1,21.200001,19.4,19.9,19.9,6382700
2022-01-12,20.0,20.299999,19.799999,20.1,20.1,1814300
2022-01-13,20.0,20.1,18.700001,18.799999,18.799999,5974700
2022-01-14,18.799999,19.200001,18.799999,19.0,19.0,2132600
2022-01-17,19.0,19.1,18.0,18.700001,18.700001,2891700
2022-01-18,18.6,19.700001,18.5,19.5,19.5,5497700
2022-01-19,19.4,19.700001,19.1,19.5,19.5,1565000
2022-01-20,19.6,20.299999,19.200001,20.1,20.1,3584100
2022-01-21,20.200001,20.200001,18.700001,19.5,19.5,4113600
2022-01-24,19.5,19.799999,18.200001,18.700001,18.700001,4514600
2022-01-25,18.5,18.799999,18.1,18.700001,18.700001,1703100
2022-01-26,19.9,20.9,19.0,19.299999,19.299999,13077800
2022-01-27,19.0,19.799999,18.9,19.799999,19.799999,2441000
2022-01-28,20.0,21.6,20.0,20.5,20.5,18604500
2022-01-31,20.5,21.299999,20.1,21.1,21.1,3283800
2022-02-01,21.299999,22.200001,21.0,22.200001,22.200001,6582500
2022-02-02,22.0,22.4,21.5,22.200001,22.200001,4721000
2022-02-03,22.0,22.0,21.200001,21.299999,21.299999,4186100
2022-02-04,21.200001,21.6,21.1,21.5,21.5,1446200
2022-02-07,21.4,21.4,20.6,21.0,21.0,2126000
2022-02-08,21.0,21.299999,20.700001,20.9,20.9,1162400
2022-02-09,20.799999,20.799999,20.1,20.1,20.1,1824000
2022-02-10,20.1,20.6,20.1,20.6,20.6,675600
2022-02-11,20.6,21.299999,20.4,21.1,21.1,2664600
2022-02-14,21.0,21.0,20.5,20.5,20.5,753900
2022-02-15,20.6,21.0,20.5,20.6,20.6,852100
2022-02-17,20.6,20.700001,19.9,20.299999,20.299999,1806700
2022-02-18,20.5,20.5,20.200001,20.200001,20.200001,702600
2022-02-21,20.1,20.299999,20.1,20.200001,20.200001,454800
2022-02-22,20.0,20.1,19.4,19.5,19.5,1435200
2022-02-23,19.4,20.0,19.4,19.799999,19.799999,1219900
2022-02-24,19.9,20.0,19.1,19.5,19.5,913800
2022-02-25,19.700001,19.799999,19.6,19.6,19.6,319700
2022-02-28,19.700001,19.700001,19.299999,19.5,19.5,423000
2022-03-01,19.6,20.6,19.5,20.4,20.4,2882400
2022-03-02,20.5,20.9,19.700001,20.9,20.9,2281500
2022-03-03,20.799999,20.9,20.5,20.9,20.9,808800
2022-03-04,20.700001,20.799999,20.299999,20.5,20.5,979200
2022-03-07,20.5,20.5,19.0,19.5,19.5,2606100
2022-03-08,19.4,19.700001,18.700001,19.700001,19.700001,1450700
2022-03-09,19.700001,20.1,19.4,20.1,20.1,506800
2022-03-10,20.200001,20.299999,19.700001,19.9,19.9,412000
2022-03-11,19.6,20.799999,19.6,20.700001,20.700001,1245900
2022-03-14,20.9,21.700001,20.9,21.4,21.4,1874800
2022-03-15,21.4,21.700001,20.9,21.5,21.5,1213700
2022-03-16,21.700001,22.5,21.4,22.5,22.5,5533200
2022-03-17,22.9,23.700001,22.299999,22.799999,22.799999,6872900
2022-03-18,23.1,24.4,22.700001,23.6,23.6,3830700
2022-03-21,23.9,24.4,23.4,24.0,24.0,2928300
2022-03-22,24.200001,24.200001,23.6,23.700001,23.700001,1007600
2022-03-23,23.9,24.4,23.6,23.9,23.9,2187200
2022-03-24,23.9,23.9,23.299999,23.700001,23.700001,1376100
2022-03-25,23.799999,23.799999,22.799999,23.0,23.0,1496900
2022-03-28,22.9,27.0,22.799999,27.0,27.0,5231200
2022-03-29,27.0,28.75,26.25,26.25,26.25,4693200
2022-03-30,26.75,27.0,25.25,25.75,25.75,1977000
2022-03-31,25.75,26.5,25.0,25.5,25.5,1576800
2022-04-01,25.5,27.5,25.25,26.25,26.25,1888400
2022-04-04,26.25,28.0,26.25,26.5,26.5,2934000
2022-04-05,26.5,27.25,25.5,25.75,25.75,1509300
2022-04-07,26.0,29.25,25.25,29.25,29.25,5460100
2022-04-08,29.5,29.75,28.0,28.25,28.25,2219100
2022-04-11,27.75,28.75,27.5,27.75,27.75,1307300
2022-04-12,28.0,29.75,28.0,29.0,29.0,3940600
2022-04-18,29.0,30.75,28.5,29.5,29.5,3098100
2022-04-19,30.25,30.5,26.75,28.5,28.5,5595400
2022-04-20,29.0,31.25,28.25,31.25,31.25,6547300
2022-04-21,31.5,32.0,30.5,30.75,30.75,3078300
2022-04-22,30.75,30.75,29.5,30.0,30.0,2563400
2022-04-25,29.0,30.75,28.75,30.0,30.0,2855900
2022-04-26,30.5,30.75,28.5,29.0,29.0,3753900
2022-04-27,28.25,29.75,28.0,29.5,29.5,3167500
2022-04-28,29.25,29.25,27.5,27.5,27.5,4901700
2022-04-29,27.0,28.0,26.5,26.75,26.75,3557800
2022-05-03,26.75,27.75,25.25,25.25,25.25,1908900
2022-05-05,26.5,26.75,24.9,25.0,25.0,2527100
2022-05-06,24.6,25.5,24.200001,25.25,25.25,1565200
2022-05-09,25.0,25.25,24.200001,24.299999,24.299999,2081400
2022-05-10,24.1,25.5,24.0,25.5,25.5,2714100
2022-05-11,25.5,26.5,24.5,25.75,25.75,4420700
2022-05-12,25.25,25.75,24.4,25.0,25.0,3239000
2022-05-13,25.25,26.5,25.0,25.5,25.5,4507900
2022-05-17,26.5,28.0,26.0,27.5,27.5,4151500
2022-05-18,27.75,27.75,26.5,27.5,27.5,1512700
2022-05-19,26.0,27.25,26.0,26.5,26.5,1630500
2022-05-20,27.0,27.75,26.75,27.0,27.0,1039600
2022-05-23,27.25,29.0,27.25,28.75,28.75,3100646
2022-05-24,29.0,29.0,28.0,28.0,28.0,1208785
2022-05-25,28.5,28.75,27.5,27.75,27.75,1124426
2022-05-26,27.75,29.25,27.75,28.25,28.25,1737938
2022-05-27,28.5,28.75,25.75,26.25,26.25,4691042
2022-05-30,26.25,27.0,26.25,26.25,26.25,1509326
2022-05-31,26.5,27.25,26.5,26.75,26.75,789246
2022-06-01,27.0,27.25,26.0,26.25,26.25,1393891
2022-06-02,26.5,26.5,26.0,26.0,26.0,480720
2022-06-06,26.0,26.5,26.0,26.25,26.25,465165
2022-06-07,26.25,27.75,26.25,27.5,27.5,3383423
2022-06-08,27.75,27.75,26.75,26.75,26.75,1551457
2022-06-09,26.75,27.75,26.5,27.25,27.25,1161547
2022-06-10,27.25,27.25,26.5,26.5,26.5,587001
2022-06-13,25.75,26.25,25.0,25.75,25.75,1640570
2022-06-14,25.75,26.25,25.0,25.0,25.0,1336110
2022-06-15,25.25,25.25,24.5,24.700001,24.700001,1676730
2022-06-16,25.25,25.25,24.5,24.700001,24.700001,888539
2022-06-17,24.700001,25.25,24.4,25.25,25.25,518105
2022-06-20,24.9,25.25,24.9,25.0,25.0,375784
2022-06-21,25.25,25.5,25.0,25.0,25.0,187122
2022-06-22,25.25,26.0,25.0,25.25,25.25,593806
2022-06-23,25.5,26.0,25.0,25.25,25.25,669752
2022-06-24,25.5,25.75,24.9,25.0,25.0,559939
2022-06-27,25.25,25.25,24.9,25.0,25.0,332615
2022-06-28,25.0,25.25,24.9,24.9,24.9,244835
2022-06-29,24.9,25.0,24.799999,24.799999,24.799999,361371
2022-06-30,24.799999,25.25,24.299999,24.299999,24.299999,1092968
2022-07-01,24.299999,24.299999,22.700001,22.799999,22.799999,2456471
2022-07-04,22.700001,22.799999,21.9,22.1,22.1,1124645
2022-07-05,22.200001,22.299999,21.4,21.6,21.6,1084122
2022-07-06,21.6,21.9,21.0,21.5,21.5,1147965
2022-07-07,21.5,23.700001,21.5,23.700001,23.700001,3579466
2022-07-08,23.799999,23.799999,22.799999,22.799999,22.799999,723155
2022-07-11,23.0,23.200001,22.6,23.200001,23.200001,496246
2022-07-12,23.200001,23.299999,22.9,23.0,23.0,184048
2022-07-14,23.0,23.700001,23.0,23.200001,23.200001,543052
2022-07-15,23.4,23.4,22.700001,23.1,23.1,499020
2022-07-18,23.0,23.200001,22.799999,23.0,23.0,405904
2022-07-19,23.1,23.1,22.700001,23.1,23.1,555959
2022-07-20,23.299999,24.5,23.1,24.4,24.4,1441065
